,Northing,Easting,Longitude,Latitude
27500,816106,833758,114.1525,22.2838
27501,817849,836028,114.1745,22.2995
27502,817945,835916,114.1734,22.3004
27503,817728,836344,114.1776,22.2984
27504,818404,835608,114.1704,22.3045
27505,815893,837124,114.1851,22.2819
27506,817845,835367,114.1681,22.2995
27507,820438,835825,114.1725,22.3229
27508,817669,836039,114.1746,22.2979
27509,818058,836926,114.1832,22.3014
27510,817834,835831,114.1726,22.2994
27511,819900,835365,114.1681,22.3181
27512,818187,836120,114.1754,22.3026
27513,819632,835676,114.1711,22.3156
27514,820233,835429,114.1687,22.3211
27515,816106,833758,114.1525,22.2838
27516,817849,836028,114.1745,22.2995
27517,817945,835916,114.1734,22.3004
27518,817728,836344,114.1776,22.2984
27519,818404,835608,114.1704,22.3045
27520,815893,837124,114.1851,22.2819
27521,817845,835367,114.1681,22.2995
27522,820438,835825,114.1725,22.3229
27523,817669,836039,114.1746,22.2979
27524,818058,836926,114.1832,22.3014
27525,817834,835831,114.1726,22.2994
27526,819900,835365,114.1681,22.3181
27527,818187,836120,114.1754,22.3026
27528,819632,835676,114.1711,22.3156
27529,820233,835429,114.1687,22.3211
27530,816106,833758,114.1525,22.2838
27531,817849,836028,114.1745,22.2995
27532,817945,835916,114.1734,22.3004
27533,817728,836344,114.1776,22.2984
27534,818404,835608,114.1704,22.3045
27535,815893,837124,114.1851,22.2819
27536,817845,835367,114.1681,22.2995
27537,820438,835825,114.1725,22.3229
27538,817669,836039,114.1746,22.2979
27539,818058,836926,114.1832,22.3014
27540,817834,835831,114.1726,22.2994
27541,819900,835365,114.1681,22.3181
27542,818187,836120,114.1754,22.3026
27543,819632,835676,114.1711,22.3156
27544,820233,835429,114.1687,22.3211
27545,816106,833758,114.1525,22.2838
27546,817849,836028,114.1745,22.2995
27547,817945,835916,114.1734,22.3004
27548,817728,836344,114.1776,22.2984
27549,818404,835608,114.1704,22.3045
27550,815893,837124,114.1851,22.2819
27551,817845,835367,114.1681,22.2995
27552,820438,835825,114.1725,22.3229
27553,817669,836039,114.1746,22.2979
27554,818058,836926,114.1832,22.3014
27555,817834,835831,114.1726,22.2994
27556,819900,835365,114.1681,22.3181
27557,818187,836120,114.1754,22.3026
27558,819632,835676,114.1711,22.3156
27559,820233,835429,114.1687,22.3211
27560,816106,833758,114.1525,22.2838
27561,817849,836028,114.1745,22.2995
27562,817945,835916,114.1734,22.3004
27563,817728,836344,114.1776,22.2984
27564,818404,835608,114.1704,22.3045
27565,815893,837124,114.1851,22.2819
27566,817845,835367,114.1681,22.2995
27567,820438,835825,114.1725,22.3229
27568,817669,836039,114.1746,22.2979
27569,818058,836926,114.1832,22.3014
27570,817834,835831,114.1726,22.2994
27571,819900,835365,114.1681,22.3181
27572,818187,836120,114.1754,22.3026
27573,819632,835676,114.1711,22.3156
27574,820233,835429,114.1687,22.3211
27575,816106,833758,114.1525,22.2838
27576,817849,836028,114.1745,22.2995
27577,817945,835916,114.1734,22.3004
27578,817728,836344,114.1776,22.2984
27579,818404,835608,114.1704,22.3045
27580,815893,837124,114.1851,22.2819
27581,817845,835367,114.1681,22.2995
27582,820438,835825,114.1725,22.3229
27583,817669,836039,114.1746,22.2979
27584,818058,836926,114.1832,22.3014
27585,817834,835831,114.1726,22.2994
27586,819900,835365,114.1681,22.3181
27587,818187,836120,114.1754,22.3026
27588,819632,835676,114.1711,22.3156
27589,820233,835429,114.1687,22.3211
27590,816106,833758,114.1525,22.2838
27591,817849,836028,114.1745,22.2995
27592,817945,835916,114.1734,22.3004
27593,817728,836344,114.1776,22.2984
27594,818404,835608,114.1704,22.3045
27595,815893,837124,114.1851,22.2819
27596,817845,835367,114.1681,22.2995
27597,820438,835825,114.1725,22.3229
27598,817669,836039,114.1746,22.2979
27599,818058,836926,114.1832,22.3014
27600,817834,835831,114.1726,22.2994
27601,819900,835365,114.1681,22.3181
27602,818187,836120,114.1754,22.3026
27603,819632,835676,114.1711,22.3156
27604,820233,835429,114.1687,22.3211
27605,816106,833758,114.1525,22.2838
27606,817849,836028,114.1745,22.2995
27607,817945,835916,114.1734,22.3004
27608,817728,836344,114.1776,22.2984
27609,818404,835608,114.1704,22.3045
27610,815893,837124,114.1851,22.2819
27611,817845,835367,114.1681,22.2995
27612,820438,835825,114.1725,22.3229
27613,817669,836039,114.1746,22.2979
27614,818058,836926,114.1832,22.3014
